1. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 1.0000, kuperinp 1.0000, sxs 1
39. netqlty 0.67, netp 0.5385, onep 0.3590, zerop 0.6410, randp 0.5385, kuperinp 0.4872, sxs 0
40. netqlty 0.78, netp 0.5500, onep 0.3750, zerop 0.6250, randp 0.5250, kuperinp 0.4750, sxs 1
41. netqlty 0.70, netp 0.5610, onep 0.3902, zerop 0.6098, randp 0.5366, kuperinp 0.4878, sxs 1
42. netqlty 0.80, netp 0.5476, onep 0.4048, zerop 0.5952, randp 0.5476, kuperinp 0.5000, sxs 0
43. netqlty 0.82, netp 0.5349, onep 0.3953, zerop 0.6047, randp 0.5581, kuperinp 0.4884, sxs 0
44. netqlty 0.82, netp 0.5455, onep 0.3864, zerop 0.6136, randp 0.5455, kuperinp 0.5000, sxs 1
45. netqlty 0.90, netp 0.5556, onep 0.3778, zerop 0.6222, randp 0.5556, kuperinp 0.5111, sxs 1
46. netqlty 0.80, netp 0.5435, onep 0.3913, zerop 0.6087, randp 0.5652, kuperinp 0.5000, sxs 0
47. netqlty 0.80, netp 0.5532, onep 0.4043, zerop 0.5957, randp 0.5745, kuperinp 0.5106, sxs 1
48. netqlty 0.82, netp 0.5625, onep 0.3958, zerop 0.6042, randp 0.5833, kuperinp 0.5000, sxs 1
49. netqlty 0.90, netp 0.5510, onep 0.4082, zerop 0.5918, randp 0.5714, kuperinp 0.4898, sxs 0
50. netqlty 0.80, netp 0.5400, onep 0.4000, zerop 0.6000, randp 0.5600, kuperinp 0.4800, sxs 0
51. netqlty 0.80, netp 0.5294, onep 0.4118, zerop 0.5882, randp 0.5686, kuperinp 0.4706, sxs 0
52. netqlty 0.80, netp 0.5385, onep 0.4038, zerop 0.5962, randp 0.5769, kuperinp 0.4615, sxs 1
53. netqlty 0.67, netp 0.5283, onep 0.3962, zerop 0.6038, randp 0.5660, kuperinp 0.4717, sxs 0
54. netqlty 0.78, netp 0.5370, onep 0.3889, zerop 0.6111, randp 0.5741, kuperinp 0.4815, sxs 1
55. netqlty 0.78, netp 0.5455, onep 0.4000, zerop 0.6000, randp 0.5818, kuperinp 0.4727, sxs 1
56. netqlty 0.78, netp 0.5357, onep 0.3929, zerop 0.6071, randp 0.5893, kuperinp 0.4643, sxs 0
57. netqlty 0.75, netp 0.5439, onep 0.3860, zerop 0.6140, randp 0.5965, kuperinp 0.4737, sxs 1
58. netqlty 0.62, netp 0.5345, onep 0.3966, zerop 0.6034, randp 0.6034, kuperinp 0.4655, sxs 0
59. netqlty 0.89, netp 0.5254, onep 0.3898, zerop 0.6102, randp 0.5932, kuperinp 0.4576, sxs 0
60. netqlty 0.56, netp 0.5167, onep 0.4000, zerop 0.6000, randp 0.6000, kuperinp 0.4500, sxs 0
61. netqlty 0.78, netp 0.5082, onep 0.4098, zerop 0.5902, randp 0.6066, kuperinp 0.4590, sxs 0
62. netqlty 0.78, netp 0.5161, onep 0.4032, zerop 0.5968, randp 0.6129, kuperinp 0.4516, sxs 1
63. netqlty 0.62, netp 0.5079, onep 0.3968, zerop 0.6032, randp 0.6190, kuperinp 0.4603, sxs 0
64. netqlty 0.75, netp 0.5000, onep 0.3906, zerop 0.6094, randp 0.6094, kuperinp 0.4688, sxs 0
65. netqlty 0.62, netp 0.5077, onep 0.3846, zerop 0.6154, randp 0.6000, kuperinp 0.4769, sxs 1
66. netqlty 0.62, netp 0.5000, onep 0.3939, zerop 0.6061, randp 0.6061, kuperinp 0.4697, sxs 0
67. netqlty 0.75, netp 0.4925, onep 0.4030, zerop 0.5970, randp 0.5970, kuperinp 0.4776, sxs 0
68. netqlty 0.75, netp 0.5000, onep 0.3971, zerop 0.6029, randp 0.5882, kuperinp 0.4706, sxs 1
69. netqlty 0.75, netp 0.4928, onep 0.3913, zerop 0.6087, randp 0.5797, kuperinp 0.4783, sxs 0
70. netqlty 0.71, netp 0.5000, onep 0.3857, zerop 0.6143, randp 0.5857, kuperinp 0.4857, sxs 1
71. netqlty 0.71, netp 0.5070, onep 0.3803, zerop 0.6197, randp 0.5775, kuperinp 0.4930, sxs 1
72. netqlty 0.67, netp 0.5000, onep 0.3750, zerop 0.6250, randp 0.5694, kuperinp 0.5000, sxs 0
73. netqlty 0.50, netp 0.5068, onep 0.3836, zerop 0.6164, randp 0.5753, kuperinp 0.4932, sxs 1
74. netqlty 0.71, netp 0.5135, onep 0.3919, zerop 0.6081, randp 0.5811, kuperinp 0.5000, sxs 1
75. netqlty 0.62, netp 0.5200, onep 0.4000, zerop 0.6000, randp 0.5867, kuperinp 0.5067, sxs 1
76. netqlty 0.75, netp 0.5132, onep 0.3947, zerop 0.6053, randp 0.5789, kuperinp 0.5000, sxs 0
77. netqlty 0.75, netp 0.5195, onep 0.4026, zerop 0.5974, randp 0.5714, kuperinp 0.4935, sxs 1
78. netqlty 0.78, netp 0.5256, onep 0.3974, zerop 0.6026, randp 0.5641, kuperinp 0.4872, sxs 1
79. netqlty 0.75, netp 0.5190, onep 0.4051, zerop 0.5949, randp 0.5696, kuperinp 0.4810, sxs 0
80. netqlty 0.89, netp 0.5250, onep 0.4125, zerop 0.5875, randp 0.5625, kuperinp 0.4875, sxs 1
81. netqlty 0.67, netp 0.5185, onep 0.4074, zerop 0.5926, randp 0.5556, kuperinp 0.4815, sxs 0
82. netqlty 0.62, netp 0.5122, onep 0.4024, zerop 0.5976, randp 0.5488, kuperinp 0.4878, sxs 0
83. netqlty 0.75, netp 0.5060, onep 0.4096, zerop 0.5904, randp 0.5542, kuperinp 0.4819, sxs 0
84. netqlty 0.67, netp 0.5000, onep 0.4048, zerop 0.5952, randp 0.5476, kuperinp 0.4762, sxs 0
85. netqlty 0.67, netp 0.4941, onep 0.4000, zerop 0.6000, randp 0.5412, kuperinp 0.4824, sxs 0
86. netqlty 0.67, netp 0.5000, onep 0.3953, zerop 0.6047, randp 0.5465, kuperinp 0.4884, sxs 1
87. netqlty 0.50, netp 0.4943, onep 0.3908, zerop 0.6092, randp 0.5402, kuperinp 0.4943, sxs 0
88. netqlty 0.71, netp 0.5000, onep 0.3864, zerop 0.6136, randp 0.5341, kuperinp 0.5000, sxs 1
89. netqlty 0.71, netp 0.4944, onep 0.3933, zerop 0.6067, randp 0.5281, kuperinp 0.4944, sxs 0
90. netqlty 0.62, netp 0.4889, onep 0.4000, zerop 0.6000, randp 0.5222, kuperinp 0.5000, sxs 0
91. netqlty 0.78, netp 0.4945, onep 0.4066, zerop 0.5934, randp 0.5165, kuperinp 0.5055, sxs 1
92. netqlty 0.70, netp 0.5000, onep 0.4130, zerop 0.5870, randp 0.5109, kuperinp 0.5109, sxs 1
93. netqlty 0.73, netp 0.4946, onep 0.4086, zerop 0.5914, randp 0.5054, kuperinp 0.5054, sxs 0
94. netqlty 0.80, netp 0.4894, onep 0.4043, zerop 0.5957, randp 0.5000, kuperinp 0.5106, sxs 0
95. netqlty 0.89, netp 0.4842, onep 0.4000, zerop 0.6000, randp 0.5053, kuperinp 0.5158, sxs 0
96. netqlty 0.75, netp 0.4896, onep 0.3958, zerop 0.6042, randp 0.5000, kuperinp 0.5208, sxs 1
97. netqlty 0.88, netp 0.4845, onep 0.3918, zerop 0.6082, randp 0.4948, kuperinp 0.5258, sxs 0
98. netqlty 0.71, netp 0.4898, onep 0.3980, zerop 0.6020, randp 0.5000, kuperinp 0.5204, sxs 1
99. netqlty 0.88, netp 0.4949, onep 0.3939, zerop 0.6061, randp 0.4949, kuperinp 0.5152, sxs 1
100. netqlty 0.71, netp 0.4900, onep 0.3900, zerop 0.6100, randp 0.5000, kuperinp 0.5200, sxs 0
101. netqlty 0.67, netp 0.4950, onep 0.3861, zerop 0.6139, randp 0.4950, kuperinp 0.5248, sxs 1
102. netqlty 0.67, netp 0.4902, onep 0.3922, zerop 0.6078, randp 0.5000, kuperinp 0.5196, sxs 0
103. netqlty 0.86, netp 0.4854, onep 0.3981, zerop 0.6019, randp 0.5049, kuperinp 0.5243, sxs 0
104. netqlty 0.71, netp 0.4904, onep 0.3942, zerop 0.6058, randp 0.5000, kuperinp 0.5192, sxs 1
105. netqlty 0.71, netp 0.4952, onep 0.3905, zerop 0.6095, randp 0.5048, kuperinp 0.5238, sxs 1
106. netqlty 0.71, netp 0.4906, onep 0.3868, zerop 0.6132, randp 0.5000, kuperinp 0.5283, sxs 0
107. netqlty 0.86, netp 0.4860, onep 0.3832, zerop 0.6168, randp 0.5047, kuperinp 0.5327, sxs 0
108. netqlty 0.86, netp 0.4815, onep 0.3796, zerop 0.6204, randp 0.5000, kuperinp 0.5370, sxs 0
109. netqlty 0.71, netp 0.4862, onep 0.3761, zerop 0.6239, randp 0.5046, kuperinp 0.5413, sxs 1
110. netqlty 0.67, netp 0.4909, onep 0.3727, zerop 0.6273, randp 0.5000, kuperinp 0.5455, sxs 1
111. netqlty 0.80, netp 0.4865, onep 0.3784, zerop 0.6216, randp 0.5045, kuperinp 0.5405, sxs 0
112. netqlty 0.80, netp 0.4911, onep 0.3750, zerop 0.6250, randp 0.5000, kuperinp 0.5357, sxs 1
113. netqlty 0.50, netp 0.4867, onep 0.3805, zerop 0.6195, randp 0.5044, kuperinp 0.5310, sxs 0
114. netqlty 0.60, netp 0.4825, onep 0.3772, zerop 0.6228, randp 0.5000, kuperinp 0.5263, sxs 0
115. netqlty 0.60, netp 0.4783, onep 0.3826, zerop 0.6174, randp 0.4957, kuperinp 0.5217, sxs 0
116. netqlty 0.67, netp 0.4828, onep 0.3793, zerop 0.6207, randp 0.4914, kuperinp 0.5172, sxs 1
117. netqlty 0.67, netp 0.4872, onep 0.3846, zerop 0.6154, randp 0.4957, kuperinp 0.5128, sxs 1
118. netqlty 0.86, netp 0.4831, onep 0.3898, zerop 0.6102, randp 0.4915, kuperinp 0.5169, sxs 0
119. netqlty 0.86, netp 0.4790, onep 0.3866, zerop 0.6134, randp 0.4958, kuperinp 0.5126, sxs 0
120. netqlty 0.71, netp 0.4833, onep 0.3917, zerop 0.6083, randp 0.4917, kuperinp 0.5083, sxs 1
121. netqlty 0.88, netp 0.4876, onep 0.3967, zerop 0.6033, randp 0.4959, kuperinp 0.5124, sxs 1
122. netqlty 0.89, netp 0.4836, onep 0.4016, zerop 0.5984, randp 0.4918, kuperinp 0.5164, sxs 0
123. netqlty 0.78, netp 0.4797, onep 0.3984, zerop 0.6016, randp 0.4959, kuperinp 0.5122, sxs 0
124. netqlty 0.88, netp 0.4839, onep 0.4032, zerop 0.5968, randp 0.5000, kuperinp 0.5081, sxs 1
125. netqlty 0.78, netp 0.4800, onep 0.4000, zerop 0.6000, randp 0.4960, kuperinp 0.5040, sxs 0
126. netqlty 0.89, netp 0.4762, onep 0.3968, zerop 0.6032, randp 0.5000, kuperinp 0.5079, sxs 0
127. netqlty 0.89, netp 0.4724, onep 0.4016, zerop 0.5984, randp 0.4961, kuperinp 0.5039, sxs 0
128. netqlty 0.80, netp 0.4688, onep 0.4062, zerop 0.5938, randp 0.4922, kuperinp 0.5078, sxs 0
129. netqlty 0.82, netp 0.4729, onep 0.4031, zerop 0.5969, randp 0.4884, kuperinp 0.5039, sxs 1
130. netqlty 0.91, netp 0.4692, onep 0.4000, zerop 0.6000, randp 0.4923, kuperinp 0.5077, sxs 0
131. netqlty 0.82, netp 0.4733, onep 0.4046, zerop 0.5954, randp 0.4885, kuperinp 0.5038, sxs 1
132. netqlty 0.82, netp 0.4773, onep 0.4091, zerop 0.5909, randp 0.4924, kuperinp 0.5076, sxs 1
133. netqlty 0.92, netp 0.4737, onep 0.4060, zerop 0.5940, randp 0.4887, kuperinp 0.5038, sxs 0
134. netqlty 0.82, netp 0.4776, onep 0.4030, zerop 0.5970, randp 0.4925, kuperinp 0.5075, sxs 1
135. netqlty 0.82, netp 0.4741, onep 0.4074, zerop 0.5926, randp 0.4963, kuperinp 0.5037, sxs 0
136. netqlty 0.91, netp 0.4706, onep 0.4044, zerop 0.5956, randp 0.4926, kuperinp 0.5000, sxs 0
137. netqlty 0.73, netp 0.4745, onep 0.4015, zerop 0.5985, randp 0.4891, kuperinp 0.5036, sxs 1
138. netqlty 0.70, netp 0.4783, onep 0.4058, zerop 0.5942, randp 0.4855, kuperinp 0.5000, sxs 1
139. netqlty 0.80, netp 0.4820, onep 0.4029, zerop 0.5971, randp 0.4892, kuperinp 0.4964, sxs 1
140. netqlty 0.80, netp 0.4786, onep 0.4000, zerop 0.6000, randp 0.4929, kuperinp 0.5000, sxs 0
141. netqlty 0.78, netp 0.4752, onep 0.3972, zerop 0.6028, randp 0.4965, kuperinp 0.5035, sxs 0
142. netqlty 0.75, netp 0.4789, onep 0.3944, zerop 0.6056, randp 0.5000, kuperinp 0.5070, sxs 1
143. netqlty 0.71, netp 0.4755, onep 0.3986, zerop 0.6014, randp 0.5035, kuperinp 0.5035, sxs 0
144. netqlty 0.75, netp 0.4792, onep 0.3958, zerop 0.6042, randp 0.5069, kuperinp 0.5000, sxs 1
145. netqlty 0.71, netp 0.4828, onep 0.3931, zerop 0.6069, randp 0.5034, kuperinp 0.5034, sxs 1
146. netqlty 0.86, netp 0.4863, onep 0.3904, zerop 0.6096, randp 0.5068, kuperinp 0.5068, sxs 1
147. netqlty 0.71, netp 0.4830, onep 0.3946, zerop 0.6054, randp 0.5034, kuperinp 0.5034, sxs 0
148. netqlty 0.71, netp 0.4865, onep 0.3919, zerop 0.6081, randp 0.5000, kuperinp 0.5000, sxs 1
149. netqlty 0.67, netp 0.4832, onep 0.3960, zerop 0.6040, randp 0.5034, kuperinp 0.4966, sxs 0
150. netqlty 0.57, netp 0.4800, onep 0.4000, zerop 0.6000, randp 0.5000, kuperinp 0.5000, sxs 0
151. netqlty 0.75, netp 0.4834, onep 0.4040, zerop 0.5960, randp 0.4967, kuperinp 0.5033, sxs 1
152. netqlty 0.75, netp 0.4803, onep 0.4079, zerop 0.5921, randp 0.5000, kuperinp 0.5066, sxs 0
153. netqlty 0.75, netp 0.4837, onep 0.4118, zerop 0.5882, randp 0.4967, kuperinp 0.5098, sxs 1
154. netqlty 0.89, netp 0.4805, onep 0.4091, zerop 0.5909, randp 0.4935, kuperinp 0.5065, sxs 0
155. netqlty 0.78, netp 0.4839, onep 0.4065, zerop 0.5935, randp 0.4968, kuperinp 0.5097, sxs 1
156. netqlty 0.75, netp 0.4872, onep 0.4103, zerop 0.5897, randp 0.5000, kuperinp 0.5064, sxs 1
157. netqlty 0.89, netp 0.4841, onep 0.4076, zerop 0.5924, randp 0.5032, kuperinp 0.5032, sxs 0
158. netqlty 0.78, netp 0.4810, onep 0.4051, zerop 0.5949, randp 0.5063, kuperinp 0.5063, sxs 0
159. netqlty 0.75, netp 0.4843, onep 0.4025, zerop 0.5975, randp 0.5094, kuperinp 0.5094, sxs 1
160. netqlty 0.75, netp 0.4875, onep 0.4062, zerop 0.5938, randp 0.5125, kuperinp 0.5062, sxs 1
161. netqlty 0.67, netp 0.4845, onep 0.4099, zerop 0.5901, randp 0.5155, kuperinp 0.5093, sxs 0
162. netqlty 0.70, netp 0.4877, onep 0.4136, zerop 0.5864, randp 0.5185, kuperinp 0.5123, sxs 1
163. netqlty 0.73, netp 0.4847, onep 0.4172, zerop 0.5828, randp 0.5153, kuperinp 0.5153, sxs 0
164. netqlty 0.91, netp 0.4817, onep 0.4207, zerop 0.5793, randp 0.5122, kuperinp 0.5183, sxs 0
165. netqlty 0.92, netp 0.4848, onep 0.4182, zerop 0.5818, randp 0.5091, kuperinp 0.5152, sxs 1
166. netqlty 0.83, netp 0.4819, onep 0.4217, zerop 0.5783, randp 0.5120, kuperinp 0.5120, sxs 0
167. netqlty 0.85, netp 0.4790, onep 0.4192, zerop 0.5808, randp 0.5090, kuperinp 0.5090, sxs 0
168. netqlty 0.75, netp 0.4821, onep 0.4226, zerop 0.5774, randp 0.5060, kuperinp 0.5060, sxs 1
169. netqlty 0.77, netp 0.4852, onep 0.4201, zerop 0.5799, randp 0.5030, kuperinp 0.5030, sxs 1
170. netqlty 0.83, netp 0.4882, onep 0.4235, zerop 0.5765, randp 0.5000, kuperinp 0.5000, sxs 1
171. netqlty 0.83, netp 0.4854, onep 0.4269, zerop 0.5731, randp 0.5029, kuperinp 0.5029, sxs 0
172. netqlty 0.92, netp 0.4826, onep 0.4302, zerop 0.5698, randp 0.5000, kuperinp 0.5058, sxs 0
173. netqlty 0.92, netp 0.4855, onep 0.4335, zerop 0.5665, randp 0.5029, kuperinp 0.5087, sxs 1
174. netqlty 0.83, netp 0.4828, onep 0.4310, zerop 0.5690, randp 0.5000, kuperinp 0.5057, sxs 0
175. netqlty 0.83, netp 0.4800, onep 0.4286, zerop 0.5714, randp 0.5029, kuperinp 0.5086, sxs 0
176. netqlty 0.83, netp 0.4830, onep 0.4318, zerop 0.5682, randp 0.5057, kuperinp 0.5057, sxs 1
177. netqlty 0.83, netp 0.4802, onep 0.4294, zerop 0.5706, randp 0.5085, kuperinp 0.5028, sxs 0
178. netqlty 0.83, netp 0.4775, onep 0.4270, zerop 0.5730, randp 0.5112, kuperinp 0.5056, sxs 0
179. netqlty 0.83, netp 0.4804, onep 0.4246, zerop 0.5754, randp 0.5140, kuperinp 0.5084, sxs 1
180. netqlty 0.75, netp 0.4778, onep 0.4278, zerop 0.5722, randp 0.5167, kuperinp 0.5056, sxs 0
181. netqlty 0.75, netp 0.4751, onep 0.4309, zerop 0.5691, randp 0.5193, kuperinp 0.5083, sxs 0
182. netqlty 0.75, netp 0.4725, onep 0.4286, zerop 0.5714, randp 0.5165, kuperinp 0.5055, sxs 0
183. netqlty 0.73, netp 0.4699, onep 0.4317, zerop 0.5683, randp 0.5137, kuperinp 0.5027, sxs 0
184. netqlty 0.82, netp 0.4728, onep 0.4293, zerop 0.5707, randp 0.5163, kuperinp 0.5000, sxs 1
185. netqlty 0.80, netp 0.4703, onep 0.4270, zerop 0.5730, randp 0.5135, kuperinp 0.5027, sxs 0
186. netqlty 0.70, netp 0.4731, onep 0.4247, zerop 0.5753, randp 0.5161, kuperinp 0.5054, sxs 1
187. netqlty 0.78, netp 0.4706, onep 0.4278, zerop 0.5722, randp 0.5187, kuperinp 0.5027, sxs 0
188. netqlty 0.70, netp 0.4681, onep 0.4255, zerop 0.5745, randp 0.5213, kuperinp 0.5000, sxs 0
189. netqlty 0.67, netp 0.4709, onep 0.4233, zerop 0.5767, randp 0.5238, kuperinp 0.5026, sxs 1
190. netqlty 0.78, netp 0.4684, onep 0.4211, zerop 0.5789, randp 0.5263, kuperinp 0.5053, sxs 0
191. netqlty 0.62, netp 0.4660, onep 0.4188, zerop 0.5812, randp 0.5288, kuperinp 0.5079, sxs 0
192. netqlty 0.86, netp 0.4688, onep 0.4167, zerop 0.5833, randp 0.5260, kuperinp 0.5104, sxs 1
193. netqlty 0.67, netp 0.4715, onep 0.4145, zerop 0.5855, randp 0.5233, kuperinp 0.5130, sxs 1
194. netqlty 0.60, netp 0.4742, onep 0.4175, zerop 0.5825, randp 0.5258, kuperinp 0.5103, sxs 1
195. netqlty 0.67, netp 0.4769, onep 0.4154, zerop 0.5846, randp 0.5231, kuperinp 0.5077, sxs 1
196. netqlty 0.67, netp 0.4796, onep 0.4133, zerop 0.5867, randp 0.5204, kuperinp 0.5102, sxs 1
197. netqlty 0.80, netp 0.4772, onep 0.4162, zerop 0.5838, randp 0.5178, kuperinp 0.5076, sxs 0
198. netqlty 0.67, netp 0.4798, onep 0.4141, zerop 0.5859, randp 0.5152, kuperinp 0.5051, sxs 1
199. netqlty 0.83, netp 0.4774, onep 0.4121, zerop 0.5879, randp 0.5126, kuperinp 0.5075, sxs 0
200. netqlty 0.67, netp 0.4800, onep 0.4150, zerop 0.5850, randp 0.5150, kuperinp 0.5050, sxs 1
201. netqlty 0.67, netp 0.4826, onep 0.4129, zerop 0.5871, randp 0.5124, kuperinp 0.5025, sxs 1
202. netqlty 0.60, netp 0.4851, onep 0.4158, zerop 0.5842, randp 0.5099, kuperinp 0.5000, sxs 1
203. netqlty 0.83, netp 0.4877, onep 0.4138, zerop 0.5862, randp 0.5123, kuperinp 0.4975, sxs 1
204. netqlty 0.80, netp 0.4902, onep 0.4118, zerop 0.5882, randp 0.5098, kuperinp 0.5000, sxs 1
205. netqlty 0.60, netp 0.4878, onep 0.4146, zerop 0.5854, randp 0.5073, kuperinp 0.4976, sxs 0
206. netqlty 0.67, netp 0.4854, onep 0.4175, zerop 0.5825, randp 0.5049, kuperinp 0.5000, sxs 0
207. netqlty 0.86, netp 0.4879, onep 0.4155, zerop 0.5845, randp 0.5024, kuperinp 0.4976, sxs 1
208. netqlty 0.83, netp 0.4904, onep 0.4135, zerop 0.5865, randp 0.5048, kuperinp 0.5000, sxs 1
209. netqlty 0.83, netp 0.4928, onep 0.4163, zerop 0.5837, randp 0.5024, kuperinp 0.4976, sxs 1
210. netqlty 0.71, netp 0.4905, onep 0.4190, zerop 0.5810, randp 0.5000, kuperinp 0.5000, sxs 0
211. netqlty 0.75, netp 0.4929, onep 0.4171, zerop 0.5829, randp 0.5024, kuperinp 0.4976, sxs 1
212. netqlty 0.75, netp 0.4953, onep 0.4151, zerop 0.5849, randp 0.5000, kuperinp 0.5000, sxs 1
213. netqlty 0.88, netp 0.4930, onep 0.4131, zerop 0.5869, randp 0.4977, kuperinp 0.5023, sxs 0
214. netqlty 0.88, netp 0.4907, onep 0.4112, zerop 0.5888, randp 0.4953, kuperinp 0.5047, sxs 0
215. netqlty 0.71, netp 0.4930, onep 0.4140, zerop 0.5860, randp 0.4977, kuperinp 0.5023, sxs 1
216. netqlty 0.62, netp 0.4954, onep 0.4120, zerop 0.5880, randp 0.4954, kuperinp 0.5000, sxs 1
217. netqlty 0.88, netp 0.4931, onep 0.4101, zerop 0.5899, randp 0.4977, kuperinp 0.5023, sxs 0
218. netqlty 0.71, netp 0.4908, onep 0.4083, zerop 0.5917, randp 0.4954, kuperinp 0.5046, sxs 0
219. netqlty 0.57, netp 0.4886, onep 0.4110, zerop 0.5890, randp 0.4932, kuperinp 0.5023, sxs 0
220. netqlty 0.75, netp 0.4864, onep 0.4136, zerop 0.5864, randp 0.4955, kuperinp 0.5045, sxs 0
221. netqlty 0.62, netp 0.4842, onep 0.4118, zerop 0.5882, randp 0.4977, kuperinp 0.5023, sxs 0
222. netqlty 0.75, netp 0.4820, onep 0.4099, zerop 0.5901, randp 0.4955, kuperinp 0.5045, sxs 0
223. netqlty 0.71, netp 0.4798, onep 0.4081, zerop 0.5919, randp 0.4978, kuperinp 0.5067, sxs 0
224. netqlty 0.86, netp 0.4821, onep 0.4062, zerop 0.5938, randp 0.5000, kuperinp 0.5089, sxs 1
225. netqlty 0.71, netp 0.4844, onep 0.4044, zerop 0.5956, randp 0.5022, kuperinp 0.5111, sxs 1
226. netqlty 0.83, netp 0.4867, onep 0.4027, zerop 0.5973, randp 0.5000, kuperinp 0.5133, sxs 1
227. netqlty 0.80, netp 0.4846, onep 0.4053, zerop 0.5947, randp 0.5022, kuperinp 0.5110, sxs 0
228. netqlty 0.67, netp 0.4868, onep 0.4035, zerop 0.5965, randp 0.5000, kuperinp 0.5088, sxs 1
